0,17,11
18,32,0
35,35,11
36,36,0
33,35,11
37,46,11
47,48,0
49,57,11
58,58,0
59,268,11
269,269,0
270,279,11
280,280,0
281,301,11
302,302,0
303,323,11
324,324,0
325,335,11
336,336,0
337,357,11
358,358,0
359,368,11
369,370,0
370,379,11
380,380,0
381,390,11
391,391,0
392,401,11
402,402,0
403,412,11
413,413,0
414,423,11
424,424,0
425,434,11
435,435,0
436,446,11
447,447,0
448,457,11
458,458,0
459,468,11
469,469,0
470,480,11
480,480,0
481,490,11
491,491,0
492,499,11
